Cusip,date,ESGScore,EnvironmentPillarScore,GovernancePillarScore,SocialPillarScore
00165C10,2019-12-31,0.135864256,0,0.1642553644,0.198455404
00165C10,2020-12-31,0.1667986711,0,0.2500050398,0.2114069612
00165C10,2021-12-31,0.1674224923,0.0476190476,0.2348843931,0.1943299585
00165C10,2022-12-31,0.1847280213,0.0263942103,0.327382287,0.1846254641
00165C30,2023-12-31,0.1819427667,0.042042042,0.3127527818,0.1786765247
00165R10,2020-12-31,0.1089984965,0,0.1890837617,0.1633064516
00166B10,2020-12-31,0.167412544,0,0.073288983,0.393215875
00166B10,2021-12-31,0.2459501586,0,0.2178323699,0.4567746768
00166B10,2022-12-31,0.4301984196,0,0.5605287743,0.6019322396
00166B10,2023-12-31,0.4197245359,0,0.5484076132,0.5856025261
00166R20,2022-12-31,0.1514742494,0.0638629283,0.1342695122,0.2129345935
00166R20,2023-12-31,0.1438735603,0.0598705502,0.1290538898,0.2014906036
00174410,2015-12-31,0.6289654887,0.5773096822,0.8133615023,0.4968253968
00174410,2016-12-31,0.5472495656,0.2892773893,0.7747157365,0.4651828299
00174410,2017-12-31,0.6344036721,0.4085460993,0.8956947749,0.5107684085
00174410,2018-12-31,0.6156881193,0.3418115942,0.9018862283,0.4913049139
00174410,2019-12-31,0.7151794107,0.4987916667,0.9171083901,0.6370668213
00174410,2020-12-31,0.689943043,0.4935658915,0.8674493647,0.6238449214
00174410,2021-12-31,0.7320617262,0.5977314429,0.9294893212,0.6235096818
00174410,2022-12-31,0.7596497499,0.7429869186,0.8994713157,0.6500746248
00174410,2023-12-31,0.7208970378,0.7236296296,0.7924458683,0.6601344326
00181T10,2017-12-31,0.2333503152,0,0.7498339631,0.1222903988
00181T10,2018-12-31,0.2459590669,0,0.7845615205,0.1324302453
00181T10,2019-12-31,0.2313009076,0,0.7502336945,0.1169542381
00181T10,2020-12-31,0.2896038882,0.1680925413,0.6779155327,0.1589389102
00181T10,2021-12-31,0.2720335855,0.1520971761,0.5792100193,0.1894974349
00181T10,2022-12-31,0.2779487678,0.1429359316,0.6498224963,0.1691217869
00181T10,2023-12-31,0.2423258149,0.1207423068,0.5492114175,0.1614076339
00182C10,2016-12-31,0.1743802864,0,0.3272326507,0.1576694025
00182C10,2017-12-31,0.200900879,0,0.3843467308,0.1767323388
00182C10,2018-12-31,0.1945341547,0,0.3627542514,0.1774296604
00182C10,2019-12-31,0.2337185425,0,0.3797960484,0.2506586783
00182C10,2020-12-31,0.2465124296,0,0.4038907368,0.2621687323
00182C10,2021-12-31,0.2378541659,0,0.3869845857,0.2547808362
00182C10,2022-12-31,0.2931261786,0,0.6327073991,0.2097359775
00182C10,2023-12-31,0.2751060865,0,0.5995065312,0.1930314522
00183L10,2018-12-31,0.2132468643,0,0.1483049906,0.3629556898
00183L10,2019-12-31,0.1846478447,0,0.0846717655,0.3650780245
00183L10,2020-12-31,0.2073683928,0,0.1308638242,0.3684568803
00183L10,2021-12-31,0.1842342806,0,0.0327842004,0.4242966392
00183L10,2022-12-31,0.2061097075,0,0.0693665919,0.4367141268
00183L10,2023-12-31,0.1909169476,0,0.0694049347,0.3985406733
00184A10,2002-12-31,0.5192254703,0.4017857143,0.6371578137,0.4593881857
00184X10,2009-12-31,0.3072182436,0.2836951859,0.424897541,0.3294582742
00184X10,2010-12-31,0.2872118268,0.3016565441,0.3463276836,0.3049378882
00184X10,2011-12-31,0.4768358973,0.3486590038,0.6244222844,0.497392817
00184X10,2012-12-31,0.3950521763,0.3447676943,0.3548683821,0.4760372015
00184X10,2013-12-31,0.3895483677,0.3489252029,0.2765961273,0.4872206616
00184X10,2014-12-31,0.4159971555,0.3328126122,0.6699982598,0.4531468319
00187Y10,2020-12-31,0.1666422276,0,0.5012801129,0.0930898968
00187Y10,2021-12-31,0.1375623267,0,0.3643834297,0.1127151807
00187Y10,2022-12-31,0.1853939491,0,0.5396393871,0.1166644988
00187Y10,2023-12-31,0.1689866076,0,0.5062506047,0.0959104206
00191G10,2017-12-31,0.2549068815,0,0.6768006412,0.0643737959
00191G10,2018-12-31,0.2787978322,0.1049019608,0.5398132711,0.1697895747
